age,attrition,department,distance from home (miles),education,education field,marital status,monthly income,number of companies worked,work life balance,years at company
26,0,Sales,23,Bachelor,Marketing,Married,4157,7,Good,2
33,0,Research & Development,1,College,Life Sciences,Single,13458,1,Better,15
35,0,Sales,18,Doctor,Life Sciences,Married,9069,1,Good,9
35,0,Research & Development,23,Master,Medical,Married,4014,3,Better,2
31,0,Research & Development,7,Master,Life Sciences,Divorced,5915,3,Good,7
37,0,Research & Development,1,Master,Life Sciences,Divorced,5993,1,Best,7
32,0,Research & Development,1,Bachelor,Medical,Married,6162,1,Better,9
38,0,Research & Development,29,Doctor,Life Sciences,Single,2406,1,Better,10
50,0,Research & Development,7,College,Medical,Divorced,18740,5,Good,27
59,0,Sales,25,Bachelor,Life Sciences,Single,7637,7,Good,21
36,0,Research & Development,8,Bachelor,Technical Degree,Divorced,10096,1,Better,17
55,0,Research & Development,8,Bachelor,Medical,Divorced,14756,2,Better,5
36,0,Research & Development,11,Bachelor,Life Sciences,Single,6499,1,Better,6
45,0,Research & Development,7,Bachelor,Life Sciences,Divorced,9724,2,Better,1
35,0,Research & Development,1,Bachelor,Medical,Married,2194,4,Good,3
36,1,Research & Development,9,Bachelor,Medical,Married,3388,0,Good,1
59,0,Sales,1,Below College,Life Sciences,Single,5473,7,Good,4
29,0,Research & Development,2,Bachelor,Life Sciences,Married,2703,0,Better,5
31,0,Research & Development,1,Master,Medical,Single,2501,1,Better,1
32,0,Research & Development,1,Bachelor,Life Sciences,Married,6220,1,Better,10
36,0,Research & Development,6,Bachelor,Life Sciences,Married,3038,3,Better,1
31,0,Research & Development,8,Master,Life Sciences,Single,4424,1,Better,11
35,0,Sales,1,Master,Marketing,Single,4312,0,Better,15
45,0,Research & Development,6,Master,Other,Married,13245,4,Best,0
37,0,Research & Development,7,Master,Medical,Single,13664,4,Best,5
46,0,Human Resources,5,College,Medical,Divorced,5021,8,Better,4
30,0,Research & Development,1,Below College,Life Sciences,Married,5126,1,Good,10
35,0,Research & Development,1,Bachelor,Medical,Single,2859,1,Better,6
55,0,Sales,1,College,Life Sciences,Married,10239,3,Better,1
38,0,Research & Development,6,Bachelor,Medical,Divorced,5329,7,Better,13
34,0,Research & Development,1,College,Medical,Married,4325,1,Better,5
56,0,Research & Development,7,Bachelor,Life Sciences,Single,7260,4,Good,6
23,0,Sales,2,Below College,Technical Degree,Divorced,2322,3,Better,0
51,0,Research & Development,9,Master,Life Sciences,Married,2075,3,Better,4
30,0,Research & Development,2,Bachelor,Life Sciences,Married,4152,1,Better,11
46,1,Sales,9,College,Medical,Single,9619,1,Better,9
40,0,Research & Development,1,Master,Life Sciences,Married,13503,1,Good,22
51,0,Sales,21,Master,Marketing,Single,5441,0,Bad,10
30,0,Sales,4,College,Medical,Divorced,5209,1,Good,11
46,0,Research & Development,1,Bachelor,Medical,Married,10673,2,Good,10
32,0,Sales,6,Master,Medical,Single,5010,1,Better,11
54,0,Research & Development,2,Master,Technical Degree,Married,13549,9,Bad,4
24,0,Sales,3,College,Other,Married,4999,0,Good,3
28,0,Sales,4,Bachelor,Medical,Married,4221,1,Best,5
58,0,Sales,10,Master,Medical,Single,13872,0,Good,37
44,0,Research & Development,23,Bachelor,Medical,Married,2042,4,Best,3
37,1,Human Resources,6,Master,Human Resources,Divorced,2073,4,Better,3
32,0,Research & Development,1,Below College,Life Sciences,Single,2956,1,Better,1
20,1,Research & Development,6,Bachelor,Life Sciences,Single,2926,1,Better,1
34,0,Research & Development,6,Master,Other,Single,4809,1,Better,16
37,0,Research & Development,2,College,Life Sciences,Divorced,5163,5,Best,1
59,0,Human Resources,2,Master,Human Resources,Married,18844,9,Better,3
50,0,Research & Development,1,Bachelor,Life Sciences,Married,18172,3,Good,8
25,1,Sales,5,Bachelor,Marketing,Single,5744,1,Better,6
25,0,Research & Development,7,Below College,Medical,Married,2889,1,Better,2
22,0,Research & Development,15,Bachelor,Medical,Single,2871,1,Better,0
51,0,Research & Development,1,Master,Medical,Single,7484,3,Good,13
34,1,Research & Development,7,Bachelor,Life Sciences,Single,6074,1,Better,9
54,0,Human Resources,26,Bachelor,Human Resources,Single,17328,2,Better,5
24,0,Research & Development,18,Below College,Life Sciences,Married,2774,0,Better,5
34,0,Research & Development,6,Master,Life Sciences,Divorced,4505,6,Better,1
37,0,Sales,3,Bachelor,Life Sciences,Single,7428,2,Better,5
34,0,Research & Development,5,Bachelor,Medical,Single,11631,2,Better,11
36,0,Sales,11,College,Technical Degree,Married,9738,0,Better,9
36,0,Research & Development,3,College,Life Sciences,Divorced,2835,5,Better,1
43,0,Sales,26,College,Life Sciences,Married,16959,1,Best,25
30,0,Research & Development,23,Bachelor,Life Sciences,Divorced,2613,1,Good,10
33,0,Sales,22,College,Marketing,Married,6146,0,Best,7
56,1,Research & Development,14,Master,Life Sciences,Married,4963,9,Better,5
51,0,Research & Development,6,Bachelor,Life Sciences,Single,19537,7,Better,20
31,1,Sales,6,Master,Life Sciences,Married,6172,4,Good,7
26,0,Research & Development,6,Bachelor,Other,Married,2368,1,Good,5
58,1,Research & Development,23,Master,Medical,Married,10312,1,Good,40
19,1,Sales,22,Below College,Marketing,Single,1675,1,Good,0
22,0,Research & Development,2,Below College,Technical Degree,Married,2523,0,Better,2
49,0,Research & Development,20,Master,Medical,Married,6567,1,Good,15
43,0,Research & Development,28,Bachelor,Medical,Single,4739,4,Better,3
50,0,Sales,12,Bachelor,Marketing,Single,9208,4,Better,2
31,1,Sales,20,Bachelor,Life Sciences,Married,4559,3,Better,2
41,0,Sales,9,Below College,Life Sciences,Divorced,8189,3,Better,9
26,0,Human Resources,25,Below College,Life Sciences,Married,2942,1,Better,8
36,0,Research & Development,6,College,Medical,Divorced,4941,6,Better,3
51,1,Research & Development,8,Master,Life Sciences,Single,10650,2,Better,4
39,0,Sales,4,Master,Life Sciences,Married,5902,4,Best,15
25,0,Sales,28,Bachelor,Life Sciences,Married,8639,2,Better,2
30,0,Human Resources,9,Bachelor,Human Resources,Married,6347,0,Bad,11
32,1,Research & Development,9,Bachelor,Medical,Single,4200,7,Best,5
45,0,Research & Development,29,Bachelor,Medical,Single,3452,5,Good,6
38,0,Research & Development,3,Doctor,Technical Degree,Single,4317,3,Better,3
30,0,Research & Development,18,Bachelor,Life Sciences,Single,2632,1,Good,5
32,0,Sales,9,College,Medical,Divorced,4668,0,Best,8
30,0,Research & Development,5,Bachelor,Technical Degree,Divorced,3204,5,Better,3
30,0,Research & Development,2,Below College,Medical,Single,2720,0,Better,5
41,0,Research & Development,10,Bachelor,Life Sciences,Divorced,17181,4,Good,7
41,0,Research & Development,9,Master,Life Sciences,Married,2238,2,Better,5
19,0,Research & Development,3,Below College,Medical,Single,1483,1,Better,1
40,0,Research & Development,26,Bachelor,Medical,Divorced,5605,1,Better,20
35,0,Sales,1,Doctor,Marketing,Married,7295,1,Better,10
53,0,Sales,6,College,Marketing,Married,2306,2,Bad,7
45,0,Research & Development,9,Bachelor,Life Sciences,Divorced,2348,8,Bad,17
32,0,Sales,8,Bachelor,Marketing,Single,8998,1,Better,9
29,0,Research & Development,1,Below College,Technical Degree,Married,4319,1,Better,10
51,0,Research & Development,7,Master,Medical,Married,6132,2,Better,1
58,0,Research & Development,9,Bachelor,Medical,Married,3346,4,Good,1
40,0,Sales,4,Master,Marketing,Married,10855,7,Good,12
34,0,Sales,2,Master,Marketing,Married,2231,6,Better,4
22,0,Research & Development,19,Below College,Medical,Married,2323,1,Better,2
27,0,Research & Development,9,Bachelor,Medical,Divorced,2024,6,Bad,2
28,0,Research & Development,21,Bachelor,Medical,Married,2713,1,Bad,5
57,0,Research & Development,24,College,Life Sciences,Divorced,9439,3,Bad,5
27,0,Research & Development,3,Bachelor,Medical,Divorced,2566,1,Good,1
50,0,Research & Development,11,Bachelor,Life Sciences,Single,19926,3,Better,5
41,0,Research & Development,14,Bachelor,Life Sciences,Divorced,2451,4,Better,9
30,0,Sales,5,Bachelor,Life Sciences,Married,9419,2,Better,10
38,0,Sales,1,Master,Life Sciences,Single,8686,4,Best,8
32,0,Research & Development,6,Doctor,Life Sciences,Single,3038,3,Better,5
27,0,Research & Development,17,Bachelor,Technical Degree,Married,3058,0,Good,5
19,1,Sales,1,Below College,Technical Degree,Single,2325,0,Best,0
36,0,Research & Development,3,College,Medical,Single,2088,4,Good,8
30,0,Research & Development,9,Bachelor,Medical,Divorced,3072,1,Better,12
45,0,Sales,4,College,Life Sciences,Divorced,5006,4,Best,5
56,0,Research & Development,8,Bachelor,Life Sciences,Divorced,4257,4,Better,2
33,0,Research & Development,2,Bachelor,Life Sciences,Single,2500,0,Best,3
19,1,Research & Development,2,Bachelor,Life Sciences,Single,1102,1,Good,1
46,0,Sales,1,College,Marketing,Divorced,10453,1,Better,24
38,0,Research & Development,9,College,Life Sciences,Single,2288,1,Better,2
31,0,Research & Development,12,Below College,Medical,Married,3929,8,Better,4
34,0,Research & Development,27,College,Medical,Single,2311,2,Better,3
41,1,Sales,20,College,Marketing,Single,3140,1,Good,4
50,0,Research & Development,1,Bachelor,Medical,Married,3690,2,Good,3
53,0,Research & Development,13,College,Medical,Divorced,4450,1,Better,4
33,0,Research & Development,14,Bachelor,Medical,Married,2756,1,Better,8
40,0,Research & Development,4,Below College,Medical,Married,19033,1,Better,20
55,0,Research & Development,14,Master,Medical,Single,18722,8,Better,24
34,0,Research & Development,2,Below College,Life Sciences,Married,9547,1,Good,10
51,0,Research & Development,3,Bachelor,Medical,Single,13734,3,Better,7
52,0,Research & Development,1,Master,Life Sciences,Married,19999,0,Better,33
27,0,Research & Development,9,Bachelor,Medical,Single,2279,1,Good,7
35,1,Research & Development,23,College,Life Sciences,Married,5916,3,Better,1
43,0,Research & Development,7,Bachelor,Medical,Divorced,2089,4,Best,5
45,0,Research & Development,2,College,Medical,Married,16792,9,Better,20
37,0,Research & Development,21,Bachelor,Life Sciences,Married,3564,1,Good,8
35,0,Research & Development,2,Bachelor,Medical,Single,4425,5,Better,6
42,0,Research & Development,21,College,Medical,Divorced,5265,2,Better,5
38,0,Research & Development,2,Master,Life Sciences,Married,6553,9,Better,1
38,0,Research & Development,29,Bachelor,Technical Degree,Married,6261,3,Bad,7
27,0,Research & Development,1,Below College,Technical Degree,Married,4298,5,Better,2
49,0,Research & Development,18,Master,Life Sciences,Divorced,6804,1,Better,7
34,0,Research & Development,10,Master,Medical,Divorced,3815,1,Best,5
40,0,Research & Development,19,College,Medical,Married,2741,8,Best,7
38,1,Research & Development,29,Below College,Medical,Married,6673,7,Better,1
29,1,Sales,27,Bachelor,Marketing,Married,7639,1,Good,10
22,0,Research & Development,5,Bachelor,Life Sciences,Divorced,2328,1,Good,4
36,0,Research & Development,18,Below College,Medical,Single,2153,1,Better,8
40,0,Research & Development,9,Doctor,Life Sciences,Married,4876,9,Bad,3
46,0,Research & Development,1,Master,Medical,Divorced,9396,7,Better,4
32,1,Sales,4,Master,Medical,Married,10400,1,Good,14
30,0,Research & Development,1,Below College,Life Sciences,Single,8474,1,Better,11
27,0,Sales,20,Bachelor,Life Sciences,Single,9981,1,Better,7
51,0,Research & Development,8,Master,Life Sciences,Married,12490,5,Bad,10
30,1,Research & Development,3,Bachelor,Technical Degree,Single,2657,5,Better,5
41,0,Sales,6,Bachelor,Life Sciences,Single,13591,3,Better,1
30,1,Sales,26,Master,Marketing,Single,6696,5,Good,6
29,1,Research & Development,1,Bachelor,Technical Degree,Single,2058,0,Good,6
45,0,Sales,6,Bachelor,Medical,Single,8865,6,Better,19
54,0,Sales,3,Bachelor,Marketing,Married,5940,2,Better,6
36,0,Research & Development,5,College,Life Sciences,Single,5914,8,Best,13
33,0,Research & Development,4,Master,Medical,Married,2622,6,Better,3
37,0,Research & Development,11,Bachelor,Other,Divorced,12185,1,Better,10
38,0,Sales,3,Bachelor,Life Sciences,Divorced,10609,0,Good,16
31,0,Research & Development,1,Master,Medical,Married,4345,0,Better,5
59,0,Research & Development,3,Bachelor,Life Sciences,Married,2177,3,Better,1
37,0,Sales,4,Master,Marketing,Divorced,2793,4,Better,9
29,0,Sales,1,Below College,Medical,Married,7918,1,Better,11
35,0,Sales,1,Bachelor,Marketing,Single,8789,1,Best,10
29,1,Research & Development,18,Below College,Medical,Single,2389,1,Good,4
52,0,Research & Development,2,Bachelor,Life Sciences,Single,3212,7,Good,2
42,0,Research & Development,4,College,Technical Degree,Married,19232,1,Better,22
59,0,Human Resources,6,College,Medical,Married,2267,8,Good,2
50,0,Sales,1,Master,Medical,Divorced,19517,3,Good,7
33,1,Research & Development,14,Bachelor,Medical,Married,2436,5,Bad,5
43,0,Sales,16,Bachelor,Marketing,Married,16064,5,Better,17
33,1,Research & Development,2,College,Life Sciences,Married,2707,7,Best,9
52,0,Sales,2,Master,Life Sciences,Single,19068,1,Best,33
32,0,Sales,4,College,Life Sciences,Married,3931,2,Better,4
32,1,Research & Development,1,Bachelor,Life Sciences,Single,3730,0,Bad,3
39,0,Research & Development,1,Master,Medical,Divorced,2232,7,Better,3
32,0,Sales,26,Master,Marketing,Married,4465,0,Better,3
41,0,Research & Development,19,College,Life Sciences,Divorced,3072,2,Good,1
40,0,Research & Development,24,College,Technical Degree,Divorced,3319,1,Better,9
45,0,Research & Development,1,Bachelor,Other,Married,19202,0,Better,24
31,0,Research & Development,3,Master,Medical,Divorced,13675,9,Better,2
33,0,Research & Development,5,Master,Life Sciences,Married,2911,1,Good,2
34,0,Research & Development,2,Master,Life Sciences,Married,5957,6,Better,11
37,0,Research & Development,1,College,Medical,Married,3920,2,Good,3
45,0,Research & Development,7,Master,Life Sciences,Married,6434,4,Better,3
37,1,Research & Development,10,Bachelor,Medical,Divorced,10048,6,Better,1
39,0,Research & Development,2,Master,Technical Degree,Single,10938,0,Better,19
29,0,Research & Development,15,Bachelor,Life Sciences,Single,2340,1,Better,6
42,0,Research & Development,17,College,Life Sciences,Single,6545,3,Better,3
29,0,Sales,20,College,Marketing,Divorced,6931,2,Better,3
25,0,Research & Development,1,Bachelor,Life Sciences,Married,4898,0,Better,4
42,0,Research & Development,2,Bachelor,Medical,Divorced,2593,0,Better,9
40,0,Research & Development,2,College,Medical,Divorced,19436,0,Better,21
51,0,Research & Development,1,Bachelor,Life Sciences,Married,2723,1,Good,1
31,1,Research & Development,29,College,Medical,Single,3479,0,Best,5
32,0,Research & Development,7,Bachelor,Life Sciences,Married,2794,1,Bad,5
38,0,Sales,2,College,Life Sciences,Married,5249,3,Better,8
32,0,Research & Development,2,Below College,Technical Degree,Single,2176,4,Better,6
46,0,Sales,2,Bachelor,Technical Degree,Married,16872,3,Good,7
28,1,Research & Development,2,Master,Life Sciences,Single,3485,2,Bad,0
29,0,Sales,2,Bachelor,Medical,Married,6644,2,Better,0
31,0,Research & Development,23,Bachelor,Medical,Married,5582,0,Better,9
25,0,Research & Development,5,College,Life Sciences,Divorced,4000,1,Better,6
45,0,Research & Development,20,College,Medical,Married,13496,0,Better,20
36,0,Research & Development,6,Bachelor,Life Sciences,Married,3210,0,Better,15
55,0,Research & Development,1,Bachelor,Medical,Single,19045,0,Better,36
47,1,Research & Development,29,Master,Life Sciences,Married,11849,1,Good,10
28,0,Research & Development,9,Bachelor,Medical,Married,2070,1,Good,5
37,0,Sales,6,Master,Medical,Married,6502,4,Best,5
21,0,Research & Development,3,College,Medical,Single,3230,1,Best,3
37,0,Research & Development,1,Master,Medical,Divorced,13603,2,Better,5
35,0,Research & Development,22,Bachelor,Life Sciences,Divorced,11996,7,Good,7
38,0,Sales,7,College,Medical,Divorced,5605,1,Better,8
26,0,Research & Development,1,Bachelor,Life Sciences,Divorced,6397,1,Bad,6
50,0,Research & Development,4,Below College,Life Sciences,Divorced,19144,3,Good,10
53,0,Research & Development,3,Master,Medical,Married,17584,3,Good,5
42,0,Sales,1,Below College,Life Sciences,Married,4907,1,Better,20
29,0,Sales,2,College,Life Sciences,Single,4554,1,Good,10
55,0,Research & Development,20,College,Technical Degree,Married,5415,3,Better,10
26,0,Research & Development,11,College,Medical,Married,4741,1,Better,5
37,0,Research & Development,1,Bachelor,Life Sciences,Single,2115,1,Better,17
44,1,Research & Development,24,Bachelor,Life Sciences,Divorced,3161,3,Bad,1
38,0,Research & Development,23,Master,Life Sciences,Divorced,5745,9,Better,2
26,1,Research & Development,16,Master,Medical,Divorced,2373,2,Better,3
28,0,Research & Development,8,College,Life Sciences,Single,3310,1,Better,5
49,0,Research & Development,10,Master,Life Sciences,Single,18665,9,Better,3
36,0,Research & Development,3,Bachelor,Technical Degree,Single,4485,4,Better,8
31,0,Sales,5,Bachelor,Marketing,Divorced,2789,1,Good,2
26,1,Sales,4,Master,Marketing,Single,5828,1,Better,8
37,0,Research & Development,9,Bachelor,Medical,Married,2326,1,Good,4
42,0,Sales,26,Bachelor,Marketing,Married,13525,5,Best,20
18,1,Research & Development,3,Bachelor,Life Sciences,Single,1420,1,Better,0
35,0,Sales,16,Bachelor,Marketing,Married,8020,0,Good,11
36,0,Research & Development,18,Master,Life Sciences,Married,3688,4,Better,1
51,0,Research & Development,2,Bachelor,Medical,Divorced,5482,5,Better,4
41,0,Sales,2,Master,Life Sciences,Single,16015,1,Better,22
18,0,Sales,10,Bachelor,Medical,Single,1200,1,Better,0
28,0,Research & Development,16,College,Medical,Single,5661,0,Better,8
31,0,Sales,7,Bachelor,Technical Degree,Married,6929,4,Good,8
39,0,Research & Development,1,Bachelor,Medical,Divorced,9613,0,Good,18
36,0,Research & Development,24,Master,Life Sciences,Married,5674,7,Better,9
32,0,Sales,7,Bachelor,Life Sciences,Married,5484,1,Good,13
38,0,Research & Development,25,College,Life Sciences,Married,12061,3,Better,10
58,0,Research & Development,1,Master,Life Sciences,Divorced,5660,2,Better,5
31,0,Research & Development,5,Master,Technical Degree,Married,4821,0,Better,5
31,0,Human Resources,2,Bachelor,Human Resources,Married,6410,3,Better,2
45,0,Research & Development,7,Bachelor,Life Sciences,Divorced,5210,1,Better,24
31,0,Research & Development,2,Master,Life Sciences,Divorced,2695,0,Bad,2
33,0,Research & Development,5,Master,Life Sciences,Married,11878,6,Better,10
39,0,Research & Development,10,Below College,Medical,Married,17068,1,Better,21
43,0,Research & Development,10,Master,Life Sciences,Single,2455,0,Better,8
49,0,Research & Development,1,College,Technical Degree,Single,13964,7,Better,7
52,1,Research & Development,8,Master,Medical,Married,4941,2,Good,8
27,0,Research & Development,5,Bachelor,Life Sciences,Single,2478,1,Good,4
32,0,Sales,8,College,Technical Degree,Married,5228,1,Better,13
27,0,Sales,2,Bachelor,Life Sciences,Single,4478,1,Better,5
31,0,Sales,7,Bachelor,Marketing,Divorced,7547,4,Better,7
32,0,Research & Development,2,Master,Medical,Single,5055,7,Good,7
28,1,Research & Development,2,Master,Medical,Married,3464,5,Good,3
30,0,Research & Development,28,College,Medical,Married,5775,1,Better,10
31,0,Research & Development,7,College,Life Sciences,Married,8943,1,Better,10
39,0,Research & Development,7,College,Medical,Married,19272,1,Better,21
39,1,Sales,3,College,Medical,Married,5238,4,Good,1
33,0,Sales,10,Bachelor,Marketing,Single,4682,3,Good,7
47,0,Research & Development,5,Doctor,Life Sciences,Married,18300,4,Better,3
43,0,Research & Development,10,Master,Life Sciences,Divorced,5257,1,Best,9
27,0,Sales,1,Below College,Marketing,Married,6349,0,Better,5
54,0,Research & Development,20,Master,Life Sciences,Single,4869,3,Good,4
43,0,Research & Development,7,Bachelor,Life Sciences,Married,9985,8,Good,1
45,0,Research & Development,8,Master,Other,Married,3697,9,Better,10
40,0,Sales,1,College,Medical,Married,7457,2,Good,4
29,1,Research & Development,8,Master,Other,Married,2119,1,Good,7
29,0,Research & Development,9,Doctor,Other,Single,3983,0,Better,3
30,0,Sales,5,Bachelor,Marketing,Divorced,6118,1,Better,10
27,0,Sales,8,Master,Marketing,Married,6214,1,Better,8
37,0,Research & Development,5,College,Medical,Divorced,6347,7,Good,6
38,0,Research & Development,15,College,Life Sciences,Divorced,11510,0,Better,11
31,0,Research & Development,7,Master,Medical,Single,7143,1,Good,11
29,0,Sales,10,Below College,Marketing,Divorced,8268,1,Better,7
35,0,Research & Development,5,Master,Technical Degree,Single,8095,0,Better,16
23,0,Research & Development,26,Below College,Life Sciences,Divorced,2904,1,Good,4
41,0,Research & Development,6,Bachelor,Medical,Single,6032,6,Better,5
47,0,Sales,4,Below College,Medical,Single,2976,3,Better,0
42,0,Research & Development,23,Doctor,Life Sciences,Single,15992,2,Better,1
29,0,Sales,2,Bachelor,Life Sciences,Married,4649,1,Good,4
42,0,Human Resources,2,Below College,Technical Degree,Divorced,2696,0,Better,3
32,0,Research & Development,2,Bachelor,Medical,Married,2370,1,Better,8
48,0,Sales,29,Below College,Medical,Married,12504,3,Bad,0
37,0,Research & Development,6,Bachelor,Medical,Divorced,5974,4,Better,7
30,0,Sales,25,College,Technical Degree,Married,4736,7,Best,2
26,0,Sales,1,Bachelor,Life Sciences,Married,5296,1,Better,8
42,0,Research & Development,2,Master,Other,Single,6781,3,Better,1
21,1,Sales,1,Below College,Technical Degree,Single,2174,1,Better,3
36,0,Sales,1,Doctor,Medical,Single,6653,4,Better,1
36,0,Sales,3,Master,Medical,Married,9699,4,Better,13
57,0,Research & Development,1,Master,Medical,Married,6755,2,Better,3
40,0,Research & Development,10,Master,Life Sciences,Married,2213,3,Better,7
21,0,Sales,9,College,Medical,Single,2610,1,Good,3
33,1,Sales,5,Bachelor,Marketing,Single,2851,1,Better,1
37,0,Research & Development,10,Bachelor,Medical,Married,3452,6,Better,5
46,0,Research & Development,7,Master,Medical,Married,5258,2,Best,1
41,1,Sales,4,Bachelor,Marketing,Single,9355,1,Better,8
50,0,Research & Development,10,Bachelor,Technical Degree,Single,10496,6,Better,4
40,1,Sales,22,College,Marketing,Married,6380,2,Better,6
31,0,Research & Development,9,Master,Life Sciences,Single,2657,0,Better,2
21,1,Sales,12,Bachelor,Life Sciences,Single,2716,1,Better,1
29,0,Research & Development,23,Bachelor,Life Sciences,Single,2201,9,Better,3
35,0,Research & Development,9,Master,Life Sciences,Single,6540,9,Better,1
27,0,Research & Development,1,College,Medical,Divorced,3816,1,Better,5
28,0,Sales,9,Master,Life Sciences,Single,5253,1,Better,7
49,0,Research & Development,7,Bachelor,Other,Single,10965,8,Better,5
51,0,Sales,14,College,Life Sciences,Married,4936,4,Good,7
36,0,Research & Development,2,Bachelor,Life Sciences,Married,2543,4,Better,2
34,1,Sales,19,Bachelor,Marketing,Single,5304,8,Good,5
55,0,Research & Development,2,Bachelor,Life Sciences,Single,16659,2,Better,5
24,0,Sales,10,Master,Marketing,Divorced,4260,1,Best,5
30,0,Sales,2,Below College,Technical Degree,Married,2476,1,Better,1
26,1,Research & Development,3,Below College,Technical Degree,Single,3102,0,Better,6
22,0,Research & Development,11,Bachelor,Medical,Married,2244,1,Better,2
36,0,Sales,2,College,Medical,Married,7596,1,Better,10
30,1,Research & Development,4,Bachelor,Technical Degree,Single,2285,9,Better,1
37,0,Research & Development,14,Bachelor,Life Sciences,Divorced,3034,1,Good,18
40,0,Sales,2,College,Marketing,Divorced,5715,7,Better,5
42,0,Research & Development,1,Master,Life Sciences,Divorced,2576,3,Better,5
37,0,Research & Development,10,Master,Life Sciences,Single,4197,2,Good,1
43,0,Research & Development,12,Bachelor,Life Sciences,Divorced,14336,1,Better,25
40,0,Research & Development,2,Bachelor,Medical,Married,3448,6,Better,1
54,0,Research & Development,5,College,Medical,Married,19406,4,Good,4
34,0,Sales,4,Master,Marketing,Married,6538,9,Better,3
31,0,Research & Development,7,College,Medical,Married,4306,1,Bad,13
43,0,Research & Development,21,Bachelor,Medical,Married,2258,7,Better,3
43,0,Research & Development,8,Master,Other,Divorced,4522,4,Better,5
25,0,Sales,4,College,Life Sciences,Single,4487,1,Better,5
37,0,Research & Development,25,Doctor,Medical,Married,4449,3,Better,13
31,0,Research & Development,1,College,Life Sciences,Married,2218,1,Better,4
39,0,Research & Development,1,Below College,Life Sciences,Divorced,19197,1,Better,21
